followers,n
19025420,24
19028546,25
19059320,18
19062473,71
19063065,36
19070846,10
19084627,150
19105180,19
19106827,13
19119784,18
19143598,11
19148041,14
19156968,18
19161394,120
19183538,15
19186238,13
19187128,10
19190944,40
19207432,28
19235445,16
19239391,14
19294401,36
19305275,12
19315343,30
19342897,27
19346928,23
19385627,14
19390664,13
19394368,28
19425170,21
19434115,10
19448723,25
19464226,39
19481195,11
19490006,23
19494545,49
19499297,19
19558480,54
19615536,13
19617096,19
19644677,10
19651335,10
19657202,51
19684582,10
19701381,12
19706516,21
19707161,11
19708965,16
19751955,11
19757835,22
19759328,11
19759964,17
19760236,16
19777350,34
19811696,18
19815765,18
19821013,14
19822406,36
19838544,10
19859987,15
19878624,26
19900973,112
19905058,13
19911061,11
19917067,11
19920041,10
19925292,23
19927167,13
19968381,13
19981064,25
20002216,11
20019009,26
20023611,13
20040987,14
20053721,78
20055810,22
20056002,42
20072358,29
20089038,11
20141058,13
20147475,168
20149941,12
20170683,26
20187541,18
20191250,16
20223430,10
20230262,10
20287470,15
20299564,21
20354806,18
20501366,20
20582300,17
20585332,22
20621055,32
20627238,90
20665759,10
20667454,16
20689508,12
20689672,18
20701977,19
20734270,33
20758890,13
20764840,12
20773580,39
20774161,12
20815655,18
20838372,12
20842845,18
20843001,12
20852191,19
20852884,25
20854666,14
20879908,17
20882256,11
20897400,14
20907900,16
20925566,109
20934640,20
20981309,13
20982787,22
20995129,18
21002889,17
21034307,15
21076121,67
21094678,41
21107309,58
21108917,13
21128302,42
21178256,13
21187713,39
21222797,10
21245491,79
21347415,41
21356871,121
21413222,14
21473366,18
21475891,24
21484872,21
21496478,77
21600312,11
21621749,21
21637389,24
21641418,142
21642817,29
21650609,11
21656204,13
21658127,25
21666361,16
21667560,27
21673781,12
21737323,11
21745783,13
21759813,16
21772847,18
21774832,14
21775852,14
21782889,46
21803934,20
21804779,17
21809275,10
21852846,14
21853671,34
21855375,13
21857316,19
21877343,16
21878433,13
21919819,21
22004446,307
22011888,26
22019685,34
22020939,22
22026506,18
22032413,10
22060606,10
22096334,24
22124975,27
22140424,11
22172245,12
22255651,145
22264282,133
22275961,17
22277115,10
22291244,27
22359243,36
22362949,43
22409949,11
22425359,11
22473240,20
22499081,49
22506351,15
22602501,28
22604113,18
22611389,26
22614481,139
22623310,16
22628103,67
22637980,81
22647340,13
22653020,21
22660241,11
22785916,25
22786613,16
22812734,19
22895669,21
22903558,32
22913557,10
22928265,27
22946293,31
22950296,29
22968317,19
22969850,13
22980850,13
23035625,11
23074149,77
23080998,13
23086961,10
23114422,21
23137547,67
23139952,10
23175437,17
23186808,24
23191871,71
23222230,14
23303666,10
23314228,31
23328862,26
23339387,45
23339701,20
23342769,21
23434048,20
23435381,15
23459220,86
23466124,40
23500287,24
23570029,43
23588458,10
23592827,12
23599849,30
23650903,26
23666260,43
23671427,63
23682265,15
23747992,65
23761406,13
23767849,11
23797466,61
23807076,51
23819110,11
23832945,83
23840607,16
23921847,10
23924371,10
23931611,47
23931979,41
23935912,19
23937666,69
23939500,58
23941960,22
23967604,464
23974978,50
23977461,19
23982567,19
24024008,14
24052713,18
24079729,10
24138680,12
24155839,12
24168843,44
24175202,17
24183224,13
24191488,18
24210614,22
24353841,12
24356456,17
24423151,16
24439970,17
24454821,11
24457939,43
24522254,11
24557996,32
24741695,45
24777692,21
24778900,35
24814877,16
24890923,16
24899436,142
24906326,136
24987381,18
25048943,19
