name,id,twitter,groupe_sigle
Gilbert-Luc Devinaz,716,DEVINAZGL,SER
Nassimah Dindar,785,NassimahDindar,UC
Elisabeth Doineau,609,E_Doineau,UC
Philippe Dominati,336,PhDominati,LR
Thomas Dossus,898,tomdoss,EST
Sabine Drexler,886,DrexlerSabine,LR
Daniel Dubois,174,DanielDubois80,UC
Catherine Dumas,145,catherine_dumas,LR
Françoise Dumont,881,frdumont83,LR
Jean-Léonce Dupont,242,jldupont14,UC
Jérôme Durain,610,Jeromedurain,SER
Nicole Duranton,623,NicoleDuranton,RDPI
Yves Détraigne,72,YvesDetraigne,UC
Vincent Eblé,58,VincentEBLE,SER
Frédérique Espagnac,322,FEspagnac,SER
Dominique Estrosi Sassone,629,dominiq_estrosi,LR
Hubert Falco,295,hubertfalco,LR
Christian Favier,519,christianfavier,CRC
Corinne Feret,705,CorinneFeret,SER
Jacques Fernique,938,JacquesFernique,EST
Bernard Fialaire,906,BernardFialaire,RDSE
Jean-Luc Fichet,468,jlffichet,SER
Martine Filleul,762,martine_filleul,SER
Philippe Folliot,895,philippefolliot,UC
Michel Forissier,632,michelforissier,LR
Alain Fouché,59,AlainFouche,RTLI
Catherine Fournier,811,FournierSenat,UC
Jean-Paul Fournier,214,j_paulfournier,LR
Philippe François,472,RAPINJF,UMP
Christophe-André Frassa,326,C_Frassa,LR
Pierre Frogier,306,PierreFrogier,LR
Rémi Féraud,830,RemiFeraud,SER
Jean-Marc Gabouty,666,JMGabouty,RDSE
Laurence Garnier,942,LGarnier44,LR
Joëlle Garriaud-Maylam,567,senateurJGM,LR
Françoise Gatel,621,FrancoiseGatel,UC
André Gattolin,394,AndreGattolin,RDPI
Jean-Claude Gaudin,527,jcgaudin,LR
Fabien Gay,782,fabien_gay,CRCE
Jacques Genest,667,Genestjacques1,LR
Fabien Genet,920,FabienGenet,LR
Frédérique Gerbaud,710,GerbaudFrdriqu1,LR
Samia Ghali,34,SamiaGhali,SOC
Bruno Gilles,61,brunogilles13,LR
Dominique Gillot,423,DominiqueGillot,SOC
Jacques Gillot,17,Jacques_GILLOT,RDPI
Hervé Gillé,849,GilleHerve,SER
Éliane Giraud,605,ElianeGiraud,SOC
Éric Gold,750,egold_senat,RDSE
Guillaume Gontard,772,GuillaumGontard,EST
Gaëtan Gorce,178,ggorce,SOC
Nathalie Goulet,531,senateur61,UC
Jacqueline Gourault,487,j_gourault,UC
Sylvie Goy-Chavent,155,SGoyChavent,LR
Jean-Pierre Grand,664,JeanPierreGrand,LR
Nadine Grelet-Certenais,730,Nadine_Grelet,SOC
François Grosdidier,230,GrosdidierSenat,LR
Jacques Grosperrin,636,JGrosperrin,LR
Pascale Gruny,649,PascaleGruny02,LR
Michelle Gréaume,735,michellegreaume,CRCE
Joël Guerriau,363,joel_guerriau,RTLI
Jocelyne Guidez,781,JocelyneGuidez,UC
Didier Guillaume,399,dguillaume26,NI
Véronique Guillotin,813,VGUILLOTIN,RDSE
Jean-Noël Guérini,534,jnguerini,RDSE
Laurence Harribey,731,L_Harribey,SER
Nadège Havet,932,nadegehavet,RDPI
